shipment_id,quote_date,lane_id,carrier_name,nmfc_class,weight_lbs,weight_break_tier,base_cwt_rate,accessorials,accessorial_total,fuel_surcharge,quoted_rate_total
S00430,2025-01-05,ATL-EWR,Piedmont Freight Line,175.0,2647,2M,25.76,none,0,150.01,831.89
S00437,2025-01-10,ATL-EWR,Piedmont Freight Line,250.0,1752,1M,40.09,none,0,154.51,856.81
S00429,2025-01-15,ATL-EWR,Piedmont Freight Line,175.0,677,M5C,38.44,none,0,57.25,317.45
S00414,2025-01-16,ATL-EWR,Piedmont Freight Line,70.0,3366,2M,13.0,residential,110,96.3,644.04
S00418,2025-01-18,ATL-EWR,Piedmont Freight Line,200.0,6762,5M,21.74,none,0,323.47,1793.78
S00482,2025-01-19,ATL-EWR,Palmetto Freight Systems,70.0,5999,5M,13.99,liftgate,95,184.61,1118.76
S00435,2025-01-20,ATL-EWR,Piedmont Freight Line,125.0,7601,5M,17.07,none,0,285.52,1583.34
S00446,2025-01-23,ATL-EWR,BlueRidge LTL,175.0,1975,1M,35.95,none,0,156.22,866.32
S00469,2025-01-29,ATL-EWR,BlueRidge LTL,50.0,2360,2M,12.77,none,0,66.28,367.54
S00466,2025-02-01,ATL-EWR,BlueRidge LTL,85.0,7429,5M,13.76,none,0,224.91,1247.23
S00444,2025-02-06,ATL-EWR,Piedmont Freight Line,55.0,707,M5C,13.81,none,0,21.49,119.16
S00441,2025-02-15,ATL-EWR,Piedmont Freight Line,200.0,4834,2M,30.33,none,0,322.57,1788.77
S00448,2025-02-22,ATL-EWR,BlueRidge LTL,125.0,4572,2M,24.51,none,0,246.55,1367.24
S00480,2025-02-22,ATL-EWR,Palmetto Freight Systems,77.5,3474,2M,18.22,residential,110,139.23,882.1
S00461,2025-03-04,ATL-EWR,BlueRidge LTL,85.0,3975,2M,19.37,none,0,169.38,939.3
S00445,2025-03-17,ATL-EWR,Piedmont Freight Line,65.0,3591,2M,12.93,inside_delivery,150,102.15,716.48
S00417,2025-03-21,ATL-EWR,Piedmont Freight Line,92.5,689,M5C,21.32,limited_access,85,32.32,264.23
S00426,2025-03-21,ATL-EWR,Piedmont Freight Line,85.0,7868,5M,12.38,none,0,214.36,1188.72
S00476,2025-03-21,ATL-EWR,BlueRidge LTL,200.0,5113,5M,26.83,limited_access,85,301.83,1758.76
S00478,2025-03-24,ATL-EWR,Palmetto Freight Systems,70.0,925,M5C,19.23,liftgate,95,39.13,312.02
S00463,2025-03-28,ATL-EWR,BlueRidge LTL,150.0,4085,2M,23.9,inside_delivery,150,214.75,1340.88
S00471,2025-04-01,ATL-EWR,BlueRidge LTL,55.0,7439,5M,10.79,none,0,176.58,979.24
S00477,2025-04-03,ATL-EWR,Palmetto Freight Systems,65.0,4714,2M,16.11,none,0,167.03,926.23
