shipment_id,quote_date,lane_id,carrier_name,nmfc_class,class_band,weight_lbs,base_cwt_rate,benchmark_loo,other_quotes,rate_index_loo
S00632,2025-08-02,DFW-ATL,Palmetto Freight Systems,150.0,high,6760,26.85,43.37,1,61.9
S00614,2025-02-24,DFW-ATL,Palmetto Freight Systems,125.0,high,691,43.37,43.37,1,100.0
S00603,2025-04-17,DFW-ATL,BlueRidge LTL,125.0,high,154,43.37,26.85,2,161.5
S01023,2025-01-26,JFK-BOS,Palmetto Freight Systems,125.0,high,7513,31.7,29.49,2,107.5
S01006,2025-05-12,JFK-BOS,BlueRidge LTL,150.0,high,2797,45.21,29.49,2,153.3
S00971,2025-09-23,JFK-BOS,Piedmont Freight Line,125.0,high,6822,29.49,31.7,2,93.0
S00268,2025-11-18,ATL-MCO,Cardinal Motor Freight,125.0,high,7225,24.06,41.76,2,57.6
S00264,2025-02-12,ATL-MCO,Cardinal Motor Freight,150.0,high,6589,25.68,41.76,2,61.5
S00259,2025-05-06,ATL-MCO,Cardinal Motor Freight,150.0,high,2155,31.98,41.76,2,76.6
S00265,2025-11-18,ATL-MCO,Cardinal Motor Freight,125.0,high,4115,27.89,41.76,2,66.8
S00260,2025-05-19,ATL-MCO,Cardinal Motor Freight,150.0,high,4378,33.21,41.76,2,79.5
S00272,2025-03-20,ATL-MCO,Cardinal Motor Freight,150.0,high,7935,24.73,41.76,2,59.2
S00249,2025-04-08,ATL-MCO,Cardinal Motor Freight,150.0,high,500,45.68,41.76,2,109.4
S00271,2025-11-09,ATL-MCO,Cardinal Motor Freight,125.0,high,5128,23.7,41.76,2,56.8
S00557,2025-05-03,ORD-CLT,BlueRidge LTL,125.0,high,4504,32.39,33.33,3,97.2
S00550,2025-10-29,ORD-CLT,BlueRidge LTL,150.0,high,3408,36.6,33.33,3,109.8
S00545,2025-10-23,ORD-CLT,BlueRidge LTL,150.0,high,466,53.88,33.33,3,161.7
S00552,2025-11-19,ORD-CLT,BlueRidge LTL,150.0,high,2066,34.61,33.33,3,103.8
S00554,2025-11-26,ORD-CLT,BlueRidge LTL,150.0,high,2176,31.92,33.33,3,95.8
S00562,2025-11-21,ORD-CLT,BlueRidge LTL,125.0,high,3071,30.18,33.33,3,90.5
S00131,2025-07-10,CLT-RIC,BlueRidge LTL,175.0,vhigh,445,87.88,47.5,3,185.0
S00123,2025-10-05,CLT-RIC,BlueRidge LTL,175.0,vhigh,6351,41.47,47.5,3,87.3
S00138,2025-04-07,CLT-RIC,BlueRidge LTL,175.0,vhigh,4365,44.61,47.5,3,93.9
S00130,2025-10-08,CLT-RIC,BlueRidge LTL,175.0,vhigh,4302,51.89,47.5,3,109.2
S00125,2025-02-13,CLT-RIC,BlueRidge LTL,175.0,vhigh,5408,41.19,47.5,3,86.7
S00995,2025-10-16,JFK-BOS,BlueRidge LTL,175.0,vhigh,4974,49.64,57.29,3,86.6
S01004,2025-01-30,JFK-BOS,BlueRidge LTL,175.0,vhigh,1043,61.55,57.29,3,107.4
S00989,2025-04-01,JFK-BOS,BlueRidge LTL,200.0,vhigh,2264,54.24,57.29,3,94.7
S00247,2025-01-21,ATL-MCO,Cardinal Motor Freight,70.0,low,5692,14.13,15.84,4,89.2
S00241,2025-09-16,ATL-MCO,Cardinal Motor Freight,60.0,low,2268,15.89,15.84,4,100.3
S00246,2025-06-17,ATL-MCO,Cardinal Motor Freight,60.0,low,3522,17.76,15.84,4,112.1
S00261,2025-04-25,ATL-MCO,Cardinal Motor Freight,60.0,low,3612,15.31,15.84,4,96.7
S00251,2025-05-24,ATL-MCO,Cardinal Motor Freight,50.0,low,6209,11.43,15.84,4,72.2
S00581,2025-03-08,DFW-ATL,BlueRidge LTL,200.0,vhigh,1709,50.22,35.73,4,140.6
S00586,2025-12-27,DFW-ATL,BlueRidge LTL,200.0,vhigh,7557,33.64,35.73,4,94.2
S00576,2025-01-01,DFW-ATL,BlueRidge LTL,250.0,vhigh,1193,51.96,35.73,4,145.4
S00585,2025-08-30,DFW-ATL,BlueRidge LTL,250.0,vhigh,1091,60.41,35.73,4,169.1
S00600,2025-10-22,DFW-ATL,BlueRidge LTL,250.0,vhigh,6219,38.83,35.73,4,108.7
S00587,2025-06-23,DFW-ATL,BlueRidge LTL,175.0,vhigh,5974,29.43,35.73,4,82.4
S00590,2025-08-12,DFW-ATL,BlueRidge LTL,250.0,vhigh,5689,45.41,35.73,4,127.1
S00602,2025-11-27,DFW-ATL,BlueRidge LTL,200.0,vhigh,6891,36.65,35.73,4,102.6
S00596,2025-01-20,DFW-ATL,BlueRidge LTL,200.0,vhigh,4828,44.65,35.73,4,125.0
S00575,2025-09-20,DFW-ATL,BlueRidge LTL,175.0,vhigh,6419,35.97,35.73,4,100.7
